"Title";"Year";"Parental.Rating";"Rating";"Number.of.Votes";"Description"
"1. Game of Thrones";"2011–2019";"TV-MA";9,2;"2.3M";"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia."
"2. Breaking Bad";"2008–2013";"TV-MA";9,5;"2.1M";"A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student in order to secure his family's future."
"3. Stranger Things";"2016–2025";"TV-14";8,7;"1.3M";"When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces and one strange little girl."
"4. Friends";"1994–2004";"TV-14";8,9;"1.1M";"Follows the personal and professional lives of six twenty to thirty year-old friends living in the Manhattan borough of New York City."
"5. The Walking Dead";"2010–2022";"TV-MA";8,1;"1.1M";"Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive."
"6. Sherlock";"2010–2017";"TV-14";9,1;"1M";"The quirky spin on Conan Doyle's iconic sleuth pitches him as a ""high-functioning sociopath"" in modern-day London. Assisting him in his investigations: Afghanistan War vet John Watson, who's introduced to Holmes by a mutual acquaintance."
"7. The Big Bang Theory";"2007–2019";"TV-PG";8,1;"871K";"A woman who moves into an apartment across the hall from two brilliant but socially awkward physicists shows them how little they know about life outside of the laboratory."
"8. Dexter";"2006–2013";"TV-MA";8,6;"771K";"He's smart. He's lovable. He's Dexter Morgan, America's favorite serial killer, who spends his days solving crimes and nights committing them."
"9. How I Met Your Mother";"2005–2014";"TV-14";8,3;"730K";"A father recounts to his children - through a series of flashbacks - the journey he and his four best friends took leading up to him meeting their mother."
"10. The Office";"2005–2013";"TV-14";9;"716K";"A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, tedium and romance."
"11. True Detective";"2014–";"TV-MA";8,9;"659K";"Anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law."
"12. The Boys";"2019–";"TV-MA";8,7;"659K";"A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers."
"13. Peaky Blinders";"2013–2022";"TV-MA";8,8;"654K";"A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby."
"14. Better Call Saul";"2015–2022";"TV-MA";9;"652K";"The trials and tribulations of criminal lawyer Jimmy McGill in the years leading up to his fateful run-in with Walter White and Jesse Pinkman."
"15. Black Mirror";"2011–";"TV-MA";8,7;"643K";"Featuring stand-alone dramas -- sharp, suspenseful, satirical tales that explore techno-paranoia -- ""Black Mirror"" is a contemporary reworking of ""The Twilight Zone"" with stories that tap into the collective unease about the modern world."
"16. Rick and Morty";"2013–";"TV-MA";9,1;"605K";"The fractured domestic lives of a nihilistic mad scientist and his anxious grandson are further complicated by their inter-dimensional misadventures."
"17. Lost";"2004–2010";"TV-14";8,3;"597K";"The survivors of a plane crash are forced to work together in order to survive on a seemingly deserted tropical island."
"18. The Mandalorian";"2019–";"TV-14";8,6;"590K";"The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic."
